Open Time,Open,High,Low,Close Price,Volume
2023-11-14,0.6015,0.63,0.5377,0.5664,359336682.2
2023-11-15,0.5663,0.6215,0.5601,0.6196,295679066.8
2023-11-16,0.6195,0.643,0.5504,0.5654,334026166.6
2023-11-17,0.5655,0.5868,0.5249,0.5541,285124903.9
2023-11-18,0.5542,0.5548,0.5139,0.5468,175676644.5
2023-11-19,0.5467,0.5676,0.5282,0.5633,137847224.9
2023-11-20,0.5634,0.5791,0.5414,0.5551,173158683.4
2023-11-21,0.5552,0.5829,0.4964,0.5025,272581882.9
2023-11-22,0.5024,0.5644,0.4993,0.5567,144776363.5
2023-11-23,0.5567,0.5954,0.552,0.5888,304747334.2
2023-11-24,0.5887,0.6421,0.5817,0.627,326633948.6
2023-11-25,0.627,0.6887,0.6214,0.6554,401767959.3
2023-11-26,0.6554,0.6694,0.6071,0.6351,277842848.8
2023-11-27,0.6352,0.6478,0.5769,0.5931,220523310.6
2023-11-28,0.5932,0.6298,0.5641,0.6184,231361739.9
2023-11-29,0.6184,0.6235,0.5782,0.601,211494795.4
2023-11-30,0.601,0.641,0.5865,0.5972,328920677.2
2023-12-01,0.5973,0.6278,0.5911,0.613,194593426.7
2023-12-02,0.613,0.6348,0.6038,0.6258,143956287.5
2023-12-03,0.6257,0.6306,0.5985,0.6158,161980466.9
2023-12-04,0.6158,0.64,0.55,0.6293,332109573.1
2023-12-05,0.6293,0.6598,0.6178,0.6448,344593990.2
2023-12-06,0.6449,0.6627,0.6039,0.6207,273997509.7
2023-12-07,0.6208,0.6905,0.6047,0.6721,335940150.3
2023-12-08,0.672,0.7159,0.6692,0.7038,282660243.8
2023-12-09,0.7038,0.7279,0.6713,0.6786,265604595.2
2023-12-10,0.6786,0.717,0.6674,0.6932,175021188.7
2023-12-11,0.6931,0.7155,0.595,0.6296,404134008.6
2023-12-12,0.6295,0.6642,0.6204,0.6606,283129050.4
2023-12-13,0.6606,0.6669,0.6054,0.6535,287121281.6
2023-12-14,0.6536,0.6708,0.6224,0.6554,227795496.0
2023-12-15,0.6555,0.6563,0.6152,0.6182,184581086.1
2023-12-16,0.6182,0.6505,0.6003,0.6326,153590412.0
2023-12-17,0.6326,0.6372,0.6042,0.6112,127527580.9
2023-12-18,0.6112,0.6198,0.564,0.6109,190260806.5
2023-12-19,0.6109,0.7196,0.6057,0.6793,578137394.9
2023-12-20,0.6793,0.7484,0.6452,0.6885,639982365.0
2023-12-21,0.6884,0.719,0.6712,0.6887,273906744.0
2023-12-22,0.6887,0.7055,0.6568,0.6959,239993086.5
2023-12-23,0.6959,0.7608,0.6927,0.7544,439509148.3
2023-12-24,0.7544,0.7626,0.7015,0.7148,247662763.6
2023-12-25,0.7148,0.8316,0.7084,0.8174,392782252.7
2023-12-26,0.8174,0.9097,0.768,0.8851,720220769.5
2023-12-27,0.885,0.9221,0.8216,0.8312,382647532.1
2023-12-28,0.8313,0.8651,0.7777,0.797,342615972.3
2023-12-29,0.7971,0.8432,0.7608,0.8064,299234049.9
2023-12-30,0.8063,0.8229,0.77,0.8091,151814269.8
2023-12-31,0.8092,0.832,0.7629,0.7759,176598808.0
2024-01-01,0.7759,0.8486,0.7562,0.8445,199733710.2
2024-01-02,0.8445,0.934,0.8395,0.9066,371677285.5
2024-01-03,0.9066,0.9428,0.6709,0.8438,513216443.6
2024-01-04,0.8436,0.8722,0.8054,0.8546,246109920.4
2024-01-05,0.8544,0.901,0.7625,0.9001,387124538.8
2024-01-06,0.9001,0.9007,0.807,0.8314,429450033.8
2024-01-07,0.8314,0.8606,0.7912,0.8,232371661.7
2024-01-08,0.8,0.8848,0.7202,0.8607,364324497.1
2024-01-09,0.8606,0.8746,0.7758,0.7981,263664688.2
2024-01-10,0.7981,0.8615,0.7605,0.8421,254293416.0
2024-01-11,0.842,1.1514,0.8297,1.0934,939371983.6
2024-01-12,1.0935,1.2268,1.0444,1.1688,1180375320.0
2024-01-13,1.1689,1.3657,1.1202,1.2897,1201689722.1
